Ticker,Company,Industry,Country,Daily Change (%),Weekly Change (%),Monthly Change (%),Yearly Change (%)
PINS,"Pinterest, Inc.",Social Media,USA,-0.6085166464398902,-5.170027720627041,-13.471241762890578,-1.7192041907890694
SNAP,Snap Inc.,Social Media,USA,1.2499987582366165,-2.702697800553952,-9.243695308982018,-21.54963682251121
BMBL,Bumble Inc.,Social Media,USA,7.399575120955844,-0.392156496088299,-40.58479753940878,-53.265869575077986
MTCH,"Match Group, Inc.",Social Media,USA,4.1174561484841385,2.321203860095615,-3.003277145857889,-3.2131015057699392
SPOT,Spotify Technology S.A.,Streaming Services,Sweden,-2.08130106504056,-9.929587854628137,-16.558206409260873,105.1272120685848
ROKU,"Roku, Inc.",Streaming Services,USA,-3.6809049765602184,-5.914835956778435,-9.373522988421266,18.868214215419087
PARA,Paramount Global,Media,USA,3.2312934272540326,8.007122691560847,15.071091221251804,13.136059176914392
WBD,"Warner Bros. Discovery, Inc.",Media,USA,3.4579429173325673,0.6363608620383523,10.921845717275879,26.804126864690105
EA,Electronic Arts Inc.,Gaming,USA,2.3759047880072317,7.343236301740374,6.171759351164555,4.1698301088261935
TTWO,"Take-Two Interactive Software, Inc.",Gaming,USA,-1.7029842542388707,-1.863505478939156,-3.8492272774107663,42.16239331029528
RBLX,Roblox Corporation,Gaming,USA,-2.3903048201699466,-5.394675028573932,-12.11376558513407,43.13970990152751
U,Unity Software Inc.,Gaming,USA,4.447325964730521,-7.565913398792488,18.578436207835555,-10.606056868171546
COIN,"Coinbase Global, Inc.",Cryptocurrency,USA,1.5314931163745396,4.357634037447707,-22.400258368075185,-15.263813776887506
SOFI,"SoFi Technologies, Inc.",Financial Services,USA,1.1245007668077824,-10.518831374109835,-16.78783835188943,63.29442399865125
HOOD,"Robinhood Markets, Inc.",Financial Services,USA,-0.9366681137674755,-8.938090855799748,-21.059182854837516,161.2941068761489
ADYEY,Adyen N.V.,Financial Services,Netherlands,-1.3574647453365973,0.17231870711341352,9.685540581602195,9.000003337860107
MELI,"MercadoLibre, Inc.",E-Commerce,Argentina,-1.7557772487318175,-5.655933902062448,-1.6100128955007769,32.84892336002066
ABNB,"Airbnb, Inc.",Hospitality,USA,-0.28196547508023684,-3.628539024258138,-0.6285167620453772,-18.507066639204364
BKNG,Booking Holdings Inc.,Hospitality,USA,-0.2771918147770202,-4.781829293418781,-4.691714543624999,NAN
EXPE,"Expedia Group, Inc.",Hospitality,USA,0.14124762128030244,-4.563756406261751,-9.006469972570692,36.04128316697527
UBER,"Uber Technologies, Inc.",Transportation,USA,1.7475954837159344,2.775902956485515,-3.0013998382137497,-3.087675221606291
LYFT,"Lyft, Inc.",Transportation,USA,2.7317874651510192,-4.685104369468945,-17.923280811233727,-32.222827911626105
DASH,"DoorDash, Inc.",Food Delivery,USA,-1.1270883195922903,-9.06862481563465,-7.553341993948131,35.11380706199433
NTDOY,"Nintendo Co., Ltd.",Gaming,Japan,-5.819541800467906,-6.12028456543921,-1.8909908856738595,28.10456647227502
SQNXF,"Square Enix Holdings Co., Ltd.",Gaming,Japan,-5.180495949558543,2.310746222471573,9.957433823842544,21.01975121145616
NCBDF,Bandai Namco Holdings Inc.,Gaming,Japan,0.0,0.0,30.407774101183254,74.30802881030182
CCOEY,"Capcom Co., Ltd.",Gaming,Japan,-2.902694648600243,-4.00161592674671,-6.052217741646466,17.168226263672544
PLTR,Palantir Technologies Inc.,Data Analytics,USA,5.530704235982884,0.16516105295188818,-27.209599184384054,226.07527141628688
KLAC,KLA Corporation,Semiconductors,USA,2.7682621775334404,1.7349398347643923,-5.1317903126242195,2.6357843303467043
LRCX,Lam Research Corporation,Semiconductors,USA,3.321565156245448,4.041556749571065,-5.352380087184395,-13.962508719230959
AMAT,"Applied Materials, Inc.",Semiconductors,USA,2.7319516781496933,-0.6128745643564076,-15.039435634984756,-23.627662168129355
WDC,Western Digital Corporation,Storage,USA,0.6031362977043069,-13.485476964966756,-20.091104900022554,-12.430001070251432
STX,Seagate Technology Holdings PLC,Storage,USA,1.5697144736061164,-12.585674381042905,-10.02045270547839,-2.2807552916725196
DELL,Dell Technologies Inc.,Technology,USA,-1.6770561329729206,-15.181306193641856,-18.564686071908557,-20.144587594220013
HPE,Hewlett Packard Enterprise Company,Technology,USA,-11.971039946849116,-20.312498497866827,-26.22491743129718,-9.7415256165925
HPQ,HP Inc.,Technology,USA,1.9019072913987738,-7.817688104696568,-6.946979891826249,2.7029530307069316
ANET,"Arista Networks, Inc.",Networking,USA,-1.1619584658421298,-8.965817529577546,-30.666224500654778,22.090007808459866
JNPR,"Juniper Networks, Inc.",Networking,USA,0.0,0.8351591851189702,0.8631868386894387,-1.1266312477864941
NOK,Nokia Corporation,Networking,Finland,1.3565925141738926,8.281575604260299,8.281575604260299,48.55634359853981
ERIC,Ericsson,Networking,Sweden,2.36406392864442,5.352792774815109,13.202610973250806,62.4082731270119
TXN,Texas Instruments Incorporated,Semiconductors,USA,0.6232216950424488,-0.4077358948529864,5.662473990411614,13.668999842868839
TOELY,Tokyo Electron Limited,Semiconductors,Japan,0.880253257096952,-3.9765998085903793,-14.948760198664438,-42.607317013707075
PCRFY,Panasonic Holdings Corporation,Consumer Electronics,Japan,NAN,NAN,NAN,NAN
HTHIY,"Hitachi, Ltd.",Technology,Japan,-0.38387131305105354,1.2090537467647975,-51.20345879273368,-26.177741102819933
FJTSY,Fujitsu Limited,Technology,Japan,-1.1671335159175902,9.123713879215867,8.955222561960854,29.124730010416833
RICOY,"Ricoh Company, Ltd.",Technology,Japan,0.0,0.0,-8.699807304908186,11.305364518113254
SEKEY,Seiko Epson Corporation,Technology,Japan,-0.9478664417471632,0.36014085529360235,2.8290226199110537,1.4563093312173492
SHCAY,Sharp Corporation,Technology,Japan,-0.6410250532086098,-3.1250044237821637,0.0,16.541346037756718
DXCM,"DexCom, Inc.",Medical Devices,USA,-2.100371970156028,-11.354061607905585,-11.816019827610424,-42.44732248584796
ISRG,"Intuitive Surgical, Inc.",Medical Devices,USA,-3.771097031470441,-8.072442341553488,-12.999832273713723,32.259793720333754
VRTX,Vertex Pharmaceuticals Incorporated,Biotechnology,USA,0.5291129287984543,2.90621887142716,3.8981227049884555,18.061368231451027
REGN,"Regeneron Pharmaceuticals, Inc.",Biotechnology,USA,1.2986093712436888,0.6730385428684282,2.6159087605527525,-26.878896083559017
LULU,Lululemon Athletica Inc.,Retail,Canada,-1.028917935484188,-4.914959722375656,-13.84754128912892,-25.20255122941311
CHTR,"Charter Communications, Inc.",Telecommunications,USA,-0.8930938021440245,5.704094246139595,10.412235441602828,33.73739891683998
SBUX,Starbucks Corporation,Consumer Goods,USA,0.9576202944351644,-6.996239546066676,-3.9408451318824125,19.913649403449536
MCD,McDonald's Corporation,Consumer Goods,USA,3.5183856685667267,4.257151169849332,4.774344214354461,12.494804289749348
LOW,"Lowe's Companies, Inc.",Retail,USA,-0.3449676952322895,-1.156821318896385,-5.37357613792936,2.1354137498208146
CVS,CVS Health Corporation,Healthcare,USA,1.655175220007184,2.8691041839441245,22.17719784949168,-7.615568391794729
TGT,Target Corporation,Retail,USA,0.9031115753933335,-6.057141362404337,-11.592457648238492,-30.10491561348994
DHR,Danaher Corporation,Medical Devices,USA,-1.2755412995280224,3.0917312735291578,4.211305810426904,-16.045297128073354
CI,Cigna Corporation,Healthcare,USA,1.7076906654868174,6.495818044040251,10.169093367808186,-4.46304835044731
